City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,ayr,55.4627,-4.6339,10.99,82,0,1.03,GB,1686093314
233,leava,-14.3,-178.1667,27.49,78,99,4.4,WF,1686093314
234,paros,37.0833,25.15,21.28,73,36,3.09,GR,1686093315
235,koryazhma,61.3143,47.1691,4.33,93,8,1.57,RU,1686093315
236,qaisumah,28.3112,46.1273,30.26,32,99,1.77,SA,1686093315
237,manay,7.215,126.5397,25.36,90,100,2.65,PH,1686093315
238,port elizabeth,-33.918,25.5701,7.16,87,0,2.06,ZA,1686093512
239,tra vinh,9.9347,106.3453,25.34,91,100,2.48,VN,1686093315
240,sparti,37.0733,22.4297,19.97,61,72,1.04,GR,1686093290
241,manadhoo,5.7667,73.3833,28.9,80,96,7.1,MV,1686093316
242,kidal,18.4411,1.4078,33.13,9,8,4.59,ML,1686093513
243,raja,8.4596,25.678,21.44,97,100,1.05,SS,1686093316
244,san pedro,14.35,121.0167,27.92,89,20,1.03,PH,1686093316
245,kongolo,-5.3833,27.0,22.69,57,64,0.82,CD,1686093316
246,sanghar,26.0466,68.9481,30.23,65,0,6.6,PK,1686093317
247,saint-francois,46.4154,3.9054,14.69,82,0,1.03,FR,1686093317
248,yenangyaung,20.4667,94.8833,28.74,73,100,5.19,MM,1686093317
249,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.51,GF,1686093513
250,tucuma,-0.1833,-50.05,24.93,92,10,2.56,BR,1686093471
251,karoi,-16.8099,29.6925,13.74,55,0,2.36,ZW,1686093317
252,kete krachi,7.7939,-0.0498,26.87,84,90,6.53,GH,1686093318
253,rajaori,33.3833,74.3,20.91,49,51,2.27,IN,1686093318
254,rio grande,-32.035,-52.0986,15.06,82,12,4.52,BR,1686093318
255,linkou,45.3,130.2833,15.48,77,100,3.51,CN,1686093318
256,kristiansund,63.1115,7.732,9.03,87,75,2.06,NO,1686093318
257,villa gesell,-37.2639,-56.973,15.59,92,100,6.7,AR,1686093514
258,lihue,21.9789,-159.3672,27.58,68,0,5.14,US,1686093515
259,gunnison,38.7,-107.0673,14.47,59,99,1.18,US,1686093319
260,calama,-22.4667,-68.9333,15.27,6,0,3.6,CL,1686093318
261,tannum sands,-23.9504,151.3693,20.97,60,75,4.63,AU,1686093319
262,peniche,39.3558,-9.3811,21.27,89,100,3.5,PT,1686093319
263,lodja,-3.4833,23.4333,22.21,77,26,0.63,CD,1686093515
264,altay,47.8667,88.1167,20.59,39,15,2.8,CN,1686093319
265,magnitogorsk,53.4186,59.0472,16.46,88,100,3.0,RU,1686093181
266,mil'kovo,55.6078,37.7956,13.22,79,33,2.79,RU,1686093320
267,hammerfest,70.6634,23.6821,3.25,93,75,4.12,NO,1686093516
268,vityazevo,44.9931,37.2719,14.23,82,0,4.02,RU,1686093320
269,tsetserleg,47.475,101.4542,11.17,83,43,0.76,MN,1686093320
270,shevchenko,48.5,35.0,15.75,56,87,0.76,UA,1686093320
271,as sulayyil,20.4607,45.5779,32.74,16,18,3.3,SA,1686093320
272,fale old settlement,-9.3852,-171.2468,28.19,77,38,5.29,TK,1686093321
273,tamarin,-20.3256,57.3706,24.31,77,6,5.86,MU,1686093321
274,laojunmiao,39.8333,97.7333,15.59,29,10,1.72,CN,1686093321
275,las lomitas,-24.7096,-60.593,25.51,60,86,4.08,AR,1686093321
276,hat yai,7.0084,100.4767,28.87,100,75,1.03,TH,1686093321
277,mankera,31.3866,71.4407,29.86,47,1,4.05,PK,1686093321
278,nuuk,64.1835,-51.7216,1.34,100,100,10.8,GL,1686093517
279,qoryooley,1.7878,44.53,24.22,87,49,4.37,SO,1686093322
280,nemuro,43.3236,145.575,11.57,96,99,2.93,JP,1686093517
281,macae,-22.3708,-41.7869,16.86,100,0,1.03,BR,1686093322
282,caconda,-13.7333,15.0667,13.74,45,3,1.15,AO,1686093322
283,an nuhud,12.7,28.4333,27.51,54,100,2.61,SD,1686093322
284,sao vicente,-23.9631,-46.3919,22.21,26,2,1.89,BR,1686093423
285,balabac,7.9868,117.0645,28.15,79,99,2.63,PH,1686093323
286,nova xavantina,-14.6667,-52.35,22.62,44,40,0.71,BR,1686093323
287,kapa'a,22.0752,-159.319,27.99,74,0,5.14,US,1686093323
288,bandar labuan,5.2888,115.2692,26.2,89,20,0.51,MY,1686093323
289,fortuna,40.5982,-124.1573,18.51,75,0,5.14,US,1686093519
290,nova sintra,14.8667,-24.7167,21.36,80,9,1.18,CV,1686093519
291,vendas novas,38.6771,-8.4579,17.95,91,100,2.65,PT,1686093324
292,santiago,-33.4569,-70.6483,18.43,41,75,1.03,CL,1686093318
293,vorkuta,67.5,64.0,4.23,93,96,7.54,RU,1686093519
294,gadzhiyevo,69.2551,33.3362,3.56,75,99,5.54,RU,1686093519
295,port macquarie,-31.4333,152.9167,16.61,71,50,1.61,AU,1686093324
296,keflavik,64.0049,-22.5624,5.95,75,75,3.09,IS,1686093324
297,sarangani,5.4033,125.4636,28.67,75,99,4.12,PH,1686093324
298,mar del plata,-38.0023,-57.5575,17.27,85,98,1.34,AR,1686093038
299,badger,64.8,-147.5333,26.11,25,40,2.06,US,1686093520
300,bamboo flat,11.7,92.7167,26.05,89,100,2.57,IN,1686093520
301,as saff,29.5647,31.2811,26.38,31,73,3.07,EG,1686093325
302,chambersburg,39.9376,-77.6611,26.38,39,90,3.13,US,1686093325
303,tarnogskiy gorodok,60.4997,43.5761,4.53,84,9,1.75,RU,1686093325
